TimeStamp;DriverId;CurveId
30.11.YY 02:57:09.985;1;1
30.11.YY 02:57:10.169;1;1
30.11.YY 02:57:10.372;1;1
30.11.YY 02:57:10.580;1;1
30.11.YY 02:57:10.769;1;1
30.11.YY 02:57:10.991;1;1
30.11.YY 02:57:11.170;1;1
30.11.YY 02:57:11.375;1;1
30.11.YY 02:57:11.579;1;1
30.11.YY 02:57:11.784;1;1
30.11.YY 02:57:11.972;1;1
30.11.YY 02:57:12.173;1;1
30.11.YY 02:57:12.372;1;1
30.11.YY 02:57:12.581;1;1
30.11.YY 02:57:12.769;1;1
30.11.YY 02:57:12.976;1;1
30.11.YY 02:57:13.169;1;1
30.11.YY 02:57:13.376;1;1
30.11.YY 02:57:13.572;1;1
30.11.YY 02:57:13.774;1;1
30.11.YY 02:57:13.979;1;1
30.11.YY 02:57:14.174;1;1
30.11.YY 02:57:14.372;1;1
30.11.YY 02:57:14.597;1;1
30.11.YY 02:57:14.772;1;1
30.11.YY 02:57:14.970;1;1
30.11.YY 02:57:15.168;1;1
30.11.YY 02:57:15.372;1;1
30.11.YY 02:57:15.570;1;1
30.11.YY 02:57:15.770;1;1
30.11.YY 02:57:15.982;1;1
30.11.YY 02:57:16.177;1;1
30.11.YY 02:57:16.370;1;1
30.11.YY 02:57:16.571;1;1
30.11.YY 02:57:16.771;1;1
30.11.YY 02:57:16.971;1;1
30.11.YY 02:57:17.169;1;1
30.11.YY 02:57:17.379;1;1
30.11.YY 02:57:17.569;1;1
30.11.YY 02:57:17.772;1;1
30.11.YY 02:57:17.973;1;1
30.11.YY 02:57:18.175;1;1
30.11.YY 02:57:18.370;1;1
30.11.YY 02:57:18.574;1;1
30.11.YY 02:57:18.773;1;1
30.11.YY 02:57:18.972;1;1
30.11.YY 02:57:19.173;1;1
30.11.YY 02:57:19.379;1;1
30.11.YY 02:57:19.573;1;1
30.11.YY 02:57:19.770;1;1
30.11.YY 02:57:19.991;1;1
30.11.YY 02:57:20.171;1;1
30.11.YY 02:57:20.369;1;1
30.11.YY 02:57:20.572;1;1
30.11.YY 02:57:20.772;1;1
30.11.YY 02:57:20.972;1;1
30.11.YY 02:57:21.169;1;1
30.11.YY 02:57:21.379;1;1
30.11.YY 02:57:21.574;1;1
30.11.YY 02:57:21.772;1;1
30.11.YY 02:57:21.986;1;1
30.11.YY 02:57:22.169;1;1
30.11.YY 02:57:22.372;1;1
30.11.YY 02:57:22.573;1;1
30.11.YY 02:57:22.769;1;1
30.11.YY 02:57:22.976;1;1
30.11.YY 02:57:23.173;1;1
30.11.YY 02:57:23.370;1;1
30.11.YY 02:57:23.573;1;1
30.11.YY 02:57:23.772;1;1
30.11.YY 02:57:23.979;1;1
30.11.YY 02:57:24.173;1;1
30.11.YY 02:57:24.372;1;1
30.11.YY 02:57:24.572;1;1
30.11.YY 02:57:24.772;1;1
30.11.YY 02:57:24.975;1;1
30.11.YY 02:57:25.172;1;1
30.11.YY 02:57:25.370;1;1
30.11.YY 02:57:25.574;1;1
30.11.YY 02:57:25.775;1;1
30.11.YY 02:57:25.981;1;1
30.11.YY 02:57:26.171;1;1
30.11.YY 02:57:26.375;1;1
30.11.YY 02:57:26.574;1;1
30.11.YY 02:57:26.769;1;1
30.11.YY 02:57:26.970;1;1
30.11.YY 02:57:27.169;1;1
30.11.YY 02:57:27.372;1;1
30.11.YY 02:57:27.573;1;1
30.11.YY 02:57:27.773;1;1
30.11.YY 02:57:27.968;1;1
30.11.YY 02:57:28.170;1;1
30.11.YY 02:57:28.371;1;1
30.11.YY 02:57:28.571;1;1
30.11.YY 02:57:28.771;1;1
30.11.YY 02:57:28.975;1;1
30.11.YY 02:57:29.172;1;1
30.11.YY 02:57:29.375;1;1
30.11.YY 02:57:29.569;1;1
30.11.YY 02:57:29.770;1;1
30.11.YY 02:57:29.987;1;1
30.11.YY 02:57:30.174;1;1
30.11.YY 02:57:30.369;1;1
30.11.YY 02:57:30.572;1;1
30.11.YY 02:57:30.772;1;1
30.11.YY 02:57:30.973;1;1
30.11.YY 02:57:31.173;1;1
30.11.YY 02:57:31.370;1;1
30.11.YY 02:57:31.569;1;1
30.11.YY 02:57:31.772;1;1
30.11.YY 02:57:31.987;1;1
30.11.YY 02:57:32.171;1;1
